name,birthday,nationality
Tom Hanks,1956-07-09,USA
Meryl Streep,1949-06-22,USA
Denzel Washington,1954-12-28,USA
Kate Winslet,1975-10-05,UK
Leonardo DiCaprio,1974-11-11,USA
Penélope Cruz,1974-04-28,Spain
Brad Pitt,1963-12-18,USA
Natalie Portman,1981-06-09,Israel/USA
Javier Bardem,1969-03-01,Spain
Scarlett Johansson,1984-11-22,USA
Hugh Jackman,1968-10-12,Australia
Emma Watson,1990-04-15,UK
Idris Elba,1972-09-06,UK
Salma Hayek,1966-09-02,Mexico
Chris Hemsworth,1983-08-11,Australia
Charlize Theron,1975-08-07,South Africa
Morgan Freeman,1937-06-01,USA
Nicole Kidman,1967-06-20,Australia
Daniel Craig,1968-03-02,UK
Lupita Nyong'o,1983-03-01,Kenya/Mexico
